Seed;Solucao;Tempo;Solucao;Tempo;Solucao;Tempo
1;900.3048149446017;0.02094268798828125;900.3048149446017;0.021931171417236328;895.6273424047924;0.025918245315551758
2;899.3048149446017;0.034906625747680664;896.2260695623066;0.03590059280395508;906.8611812748951;0.029959440231323242
3;900.3048149446017;0.024933338165283203;889.0140652149889;0.024933338165283203;917.0382773995549;0.025931358337402344
4;899.3048149446017;0.020949840545654297;857.958841549372;0.021956920623779297;878.4273882616466;0.025936365127563477
5;900.3048149446017;0.03889751434326172;892.348361688441;0.03989434242248535;893.3416170725524;0.03091740608215332
6;900.3048149446017;0.02489757537841797;886.2943603264706;0.025895118713378906;875.3480760442081;0.025932788848876953
7;900.3048149446017;0.021942138671875;893.9024297405433;0.022940397262573242;904.1836418490998;0.02692723274230957
8;899.3048149446017;0.03693389892578125;875.2240555611866;0.03792595863342285;904.7405625420988;0.0269320011138916
9;900.3048149446017;0.02393627166748047;902.9688871785124;0.024930953979492188;888.5138924315984;0.0259244441986084
10;899.3048149446017;0.0359039306640625;891.8880172831741;0.03690195083618164;922.1948202684953;0.032912492752075195
11;899.3048149446017;0.037897348403930664;889.8723506159865;0.0388951301574707;900.9777075960142;0.03091740608215332
12;900.3048149446017;0.024009227752685547;892.4906265034178;0.02496647834777832;866.7414727990054;0.0258944034576416
13;899.3048149446017;0.02393054962158203;888.0140652149889;0.02492380142211914;883.3979111819434;0.026928186416625977
14;900.3048149446017;0.039893150329589844;900.3048149446017;0.04089093208312988;913.5671812229305;0.03091740608215332
15;899.3048149446017;0.0249330997467041;888.9411308011925;0.0249330997467041;887.2365266579541;0.02593064308166504
16;900.3048149446017;0.0229036808013916;860.4073743183718;0.023900985717773438;917.4303177811942;0.025890111923217773
17;899.3048149446017;0.022935152053833008;901.565005281703;0.02393364906311035;884.2280100462726;0.026927709579467773
18;899.3048149446017;0.0359039306640625;877.258637119762;0.03685760498046875;867.6576560834493;0.028952836990356445
19;899.3048149446017;0.02392578125;907.8539519840788;0.02492523193359375;859.9470352018404;0.02593207359313965
20;899.3048149446017;0.02792048454284668;900.567847893564;0.028917551040649414;919.7972275533527;0.025930404663085938
21;899.3048149446017;0.025929927825927734;888.4233597710088;0.02692866325378418;884.2910770210957;0.025976181030273438
22;899.3048149446017;0.025928258895874023;912.802870180516;0.025928258895874023;932.8453431514214;0.025974273681640625
23;900.3048149446017;0.02395915985107422;879.6953159477664;0.02495718002319336;911.3517050621413;0.03188276290893555
24;900.3048149446017;0.02194046974182129;887.7796436156124;0.02297067642211914;890.0038651221319;0.026964902877807617
25;899.3048149446017;0.02393317222595215;868.2523501588928;0.024932146072387695;897.3439028292154;0.025928258895874023
26;899.3048149446017;0.025929927825927734;895.4659009299728;0.026926517486572266;876.4552768597259;0.025935649871826172
27;899.3048149446017;0.02991795539855957;880.8445942386666;0.030917644500732422;848.984995747964;0.028017520904541016
28;900.3048149446017;0.03244328498840332;871.3768928571462;0.03344130516052246;876.3034037196031;0.031856536865234375
29;900.3048149446017;0.03175950050354004;890.8667337638132;0.03275704383850098;889.3044190860024;0.03589057922363281
30;900.3048149446017;0.034932613372802734;882.6067296283449;0.035941123962402344;892.9509818086162;0.03092646598815918
