Seed;Solucao;Tempo;Solucao;Tempo;Solucao;Tempo
1;1176.6520123461958;0.6816253662109375;1155.1328565534518;0.6826229095458984;1138.628620974411;0.03789877891540527
2;1176.6520123461958;0.6898860931396484;1163.6435159452058;0.6908833980560303;1135.4141198328446;0.03785109519958496
3;1176.6520123461958;0.6937706470489502;1162.8548380919353;0.694767951965332;1143.946428669843;0.03351759910583496
4;1206.688079247776;0.7666215896606445;1206.688079247776;0.7676193714141846;1171.616823348632;0.040889739990234375
