Seed;Solucao;Tempo;Solucao;Tempo;Solucao;Tempo
1;1562.0606163569514;0.021941661834716797;1413.6899972273677;0.02293682098388672;1508.7778297618306;0.0369420051574707
2;1607.271595292964;0.03889608383178711;1522.2290086851187;0.04089069366455078;1563.580343207925;0.04088997840881348
3;1617.2867634970296;0.03790163993835449;1373.5558482969172;0.03889894485473633;1360.741763258225;0.04089069366455078
4;1580.0606163569514;0.02094411849975586;1406.5191696187483;0.021941661834716797;1528.5199315007894;0.03291201591491699
5;1593.0991666105033;0.030915260314941406;1538.1344683104312;0.03191256523132324;1447.4783809112153;0.03387808799743652
6;1621.2691739110012;0.021941184997558594;1556.8653406762116;0.023935794830322266;1481.8059052718882;0.03790020942687988
7;1582.8427869475831;0.020943641662597656;1384.2396561993728;0.021941184997558594;1547.1947336499873;0.032912254333496094
8;1582.8427869475831;0.020943164825439453;1502.3170746901992;0.022938013076782227;1442.1282115508761;0.042844533920288086
9;1576.3540691369594;0.020943641662597656;1490.4789688869218;0.021940946578979492;1346.796892174747;0.03394460678100586
10;1616.7423334875896;0.019936084747314453;1534.470262474763;0.02092885971069336;1473.621885228485;0.03490495681762695
11;1562.1469422341197;0.019947052001953125;1371.3560316509956;0.020939350128173828;1425.3271638198855;0.031916141510009766
12;1626.7488100501955;0.021896839141845703;1297.7439632841758;0.02289438247680664;1504.7867114370779;0.03291201591491699
13;1616.7423334875896;0.022898435592651367;1296.8023038936776;0.023899316787719727;1458.890550212531;0.03391313552856445
14;1548.3865216101292;0.022939443588256836;1476.4143289013234;0.023936986923217773;1381.5242770298207;0.034906625747680664
15;1575.0606163569516;0.0209197998046875;1460.287258336613;0.021916627883911133;1347.758018565276;0.054852962493896484
16;1621.2691739110012;0.03490591049194336;1621.2691739110012;0.03590250015258789;1388.5396327493327;0.04089069366455078
17;1659.4421467486295;0.03391075134277344;1629.2942319875078;0.03490757942199707;1553.0765000685847;0.039893388748168945
18;1616.7423334875896;0.020931720733642578;1503.8425032542646;0.021924495697021484;1378.0763642194327;0.034912824630737305
19;1621.2691739110012;0.022936582565307617;1461.5685376845895;0.02393364906311035;1584.8402905814953;0.03885698318481445
20;1633.7488100501953;0.0269315242767334;1468.1569977190652;0.02892589569091797;1630.6316333603718;0.051900625228881836
21;1547.3865216101292;0.02493000030517578;1345.912622353176;0.025922060012817383;1473.767563718137;0.04287433624267578
22;1673.1280400830315;0.018949031829833984;1505.3670463085743;0.01994609832763672;1531.0296036970876;0.03390955924987793
23;1605.607805187877;0.031916141510009766;1442.0768050946308;0.03391075134277344;1300.2206257809096;0.03985142707824707
24;1622.336296362444;0.02194070816040039;1622.336296362444;0.022938013076782227;1379.130795628247;0.032912254333496094
25;1628.7665489062342;0.027924299240112305;1628.7665489062342;0.02892160415649414;1491.4795330734532;0.0359039306640625
26;1547.3865216101292;0.02393651008605957;1378.4957680823395;0.024933815002441406;1541.949094997373;0.03191423416137695
27;1605.607805187877;0.018891096115112305;1605.607805187877;0.019889354705810547;1411.647779094068;0.03491091728210449
28;1605.271595292964;0.021940231323242188;1605.271595292964;0.022935867309570312;1483.9315099937241;0.03590250015258789
29;1547.3865216101292;0.02094101905822754;1425.3001918312052;0.02193737030029297;1426.3399016100325;0.03191184997558594
30;1576.3540691369594;0.03690075874328613;1576.3540691369594;0.03789830207824707;1364.082600057915;0.03889632225036621
